Bike_Model,Age,Service_Type,Service_History,Service_Time (hours:minutes),Build_Year,Mileage (km),Last_Serviced_Date (months),Current_Year
Yamaha FZ V2,6,Chain Inspection,19,03:52,2017,37364,4,2023
Yamaha FZ V1,11,Air Filter Change,20,10:42,2012,28959,11,2023
Yamaha FZ 250,0,Brake Inspection,3,01:06,2023,8450,0,2023
Yamaha FZ X,5,Fork Oil Change,11,08:05,2018,37325,11,2023
Yamaha MT15 v2,10,Complete Check Up,28,21:66,2013,50681,8,2023
Yamaha FZ X,7,Brake Fluid Change,13,08:56,2016,50477,7,2023
Yamaha R15 V4,2,Brake Fluid Change,7,-1:12,2021,42782,9,2023
Yamaha MT15 v1,11,Brake Inspection,1,14:35,2012,24459,6,2023
Yamaha FZ V2,13,Complete Check Up,22,27:-14,2010,47068,6,2023
Yamaha R15 V3,12,Oil Change,11,11:51,2011,51118,9,2023
Yamaha MT15 v2,11,Complete Check Up,25,23:66,2012,55599,4,2023
Yamaha FZ X,8,Fork Oil Change,23,11:64,2015,48460,8,2023
Yamaha R15 V3,12,Complete Check Up,18,22:12,2011,63749,3,2023
Yamaha FZ V3,11,Chain Inspection,22,11:66,2012,43682,2,2023
Yamaha FZ X,13,Oil Change,12,12:46,2010,52939,3,2023
Yamaha MT15 v1,11,Coolant Oil Change,9,14:06,2012,57970,11,2023
Yamaha FZ V2,10,Brake Inspection,15,10:14,2013,55890,11,2023
Yamaha FZ V1,5,Fork Oil Change,16,04:65,2018,13422,1,2023
Yamaha R15 V2,11,Air Filter Change,15,12:41,2012,57005,-2,2023
Yamaha R15 V2,13,Brake Fluid Change,10,10:76,2010,46799,9,2023
Yamaha FZ V1,10,Air Filter Change,28,10:54,2013,32357,8,2023
Yamaha FZ V3,7,Chain Inspection,29,09:63,2016,48560,3,2023
Yamaha R15 V2,7,Brake Inspection,8,06:46,2016,50651,2,2023
Yamaha R15 V2,1,Brake Inspection,29,02:-1,2022,19475,11,2023
Yamaha FZ V1,9,Air Filter Change,30,12:48,2014,33088,9,2023
Yamaha FZ V1,11,Coolant Oil Change,25,14:14,2012,51804,12,2023
Yamaha R15 V1,7,Brake Fluid Change,21,07:05,2016,15697,1,2023
Yamaha MT15 v2,1,Brake Inspection,27,01:55,2022,21657,10,2023
Yamaha R15 V4,11,Oil Change,4,14:-12,2012,54955,2,2023
Yamaha MT15 v2,6,Coolant Oil Change,-1,09:34,2017,20029,15,2023
Yamaha FZ V2,10,Fork Oil Change,19,08:-8,2013,10490,1,2023
Yamaha R15 V4,5,Fork Oil Change,11,07:21,2018,46840,6,2023
Yamaha FZ V2,10,Brake Inspection,34,11:17,2013,8406,5,2023
Yamaha R15 V3,13,Brake Fluid Change,25,12:37,2010,8373,4,2023
Yamaha R15 V4,4,Coolant Oil Change,11,05:44,2019,13054,2,2023
Yamaha R15 V4,9,Brake Inspection,22,08:53,2014,17086,5,2023
Yamaha R15 V3,11,Chain Inspection,10,09:10,2012,20272,8,2023
Yamaha FZ V3,6,Air Filter Change,8,09:70,2017,22284,9,2023
Yamaha MT15 v1,1,Complete Check Up,8,02:18,2022,20248,6,2023
Yamaha R15 V1,3,Complete Check Up,10,05:61,2020,23356,7,2023
Yamaha R15 V3,3,Brake Inspection,30,06:66,2020,20835,2,2023
Yamaha MT15 v1,9,Chain Inspection,4,10:54,2014,25760,2,2023
Yamaha R15 V2,11,Air Filter Change,7,14:29,2012,27317,8,2023
Yamaha R15 V2,5,Brake Fluid Change,10,08:-11,2018,40507,5,2023
Yamaha R15 V4,12,Fork Oil Change,35,09:62,2011,22830,7,2023
Yamaha R15 V1,0,Chain Inspection,19,-3:56,2023,12725,0,2023
Yamaha MT15 v1,12,Chain Inspection,29,11:60,2011,40416,0,2023
Yamaha MT15 v2,9,Fork Oil Change,27,10:18,2014,35318,15,2023
